Date,strategy,block,log_return,mve_gamma,optimizer_success,allocation_method
2005-01-03,polynomial,1,-0.0083889867506564027,0.01,True,constrained_regularized_mve
2005-01-04,polynomial,1,-0.0064457389926641179,0.01,True,constrained_regularized_mve
2005-01-05,polynomial,1,0.014622819249699895,0.01,True,constrained_regularized_mve
2005-01-06,polynomial,1,-0.0062964757459189769,0.01,True,constrained_regularized_mve
2005-01-07,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-01-10,polynomial,1,-0.005256066278301272,0.01,True,constrained_regularized_mve
2005-01-11,polynomial,1,-0.0021220081702797333,0.01,True,constrained_regularized_mve
2005-01-12,polynomial,1,-0.0031322456388845894,0.01,True,constrained_regularized_mve
2005-01-13,polynomial,1,0.0022737903467005124,0.01,True,constrained_regularized_mve
2005-01-14,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-01-17,polynomial,1,0.0064649850251580002,0.01,True,constrained_regularized_mve
2005-01-18,polynomial,1,-0.0016581686113699473,0.01,True,constrained_regularized_mve
2005-01-19,polynomial,1,-0.0082530454393017864,0.01,True,constrained_regularized_mve
2005-01-20,polynomial,1,-0.0021415300999373609,0.01,True,constrained_regularized_mve
2005-01-21,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-01-24,polynomial,1,0.0022204246690960259,0.01,True,constrained_regularized_mve
2005-01-25,polynomial,1,0.0029417907656966711,0.01,True,constrained_regularized_mve
2005-01-26,polynomial,1,0.0013066968851303924,0.01,True,constrained_regularized_mve
2005-01-27,polynomial,1,-0.00065649671385416167,0.01,True,constrained_regularized_mve
2005-01-28,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-01-31,polynomial,1,0.0062791020128337583,0.01,True,constrained_regularized_mve
2005-02-01,polynomial,1,0.0035952058100477417,0.01,True,constrained_regularized_mve
2005-02-02,polynomial,1,-0.0037915294805334556,0.01,True,constrained_regularized_mve
2005-02-03,polynomial,1,-0.00135486204663346,0.01,True,constrained_regularized_mve
2005-02-04,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-02-07,polynomial,1,0.0043396398700733035,0.01,True,constrained_regularized_mve
2005-02-08,polynomial,1,-0.003423815992838359,0.01,True,constrained_regularized_mve
2005-02-09,polynomial,1,0.0072338372154077098,0.01,True,constrained_regularized_mve
2005-02-10,polynomial,1,0.0084553140715792376,0.01,True,constrained_regularized_mve
2005-02-11,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-02-14,polynomial,1,0.004612581875839108,0.01,True,constrained_regularized_mve
2005-02-15,polynomial,1,-0.0087173528995592338,0.01,True,constrained_regularized_mve
2005-02-16,polynomial,1,0.0015702745890935237,0.01,True,constrained_regularized_mve
2005-02-17,polynomial,1,-0.0048466670641767635,0.01,True,constrained_regularized_mve
2005-02-18,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-02-21,polynomial,1,-0.004647310959473426,0.01,True,constrained_regularized_mve
2005-02-22,polynomial,1,-0.0061462409208626152,0.01,True,constrained_regularized_mve
2005-02-23,polynomial,1,-0.0042159871057935606,0.01,True,constrained_regularized_mve
2005-02-24,polynomial,1,0.01060000858442544,0.01,True,constrained_regularized_mve
2005-02-25,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-02-28,polynomial,1,0.0052757583938565404,0.01,True,constrained_regularized_mve
2005-03-01,polynomial,1,-0.0011218466670284584,0.01,True,constrained_regularized_mve
2005-03-02,polynomial,1,-0.0032331973768450206,0.01,True,constrained_regularized_mve
2005-03-03,polynomial,1,0.016735112655473186,0.01,True,constrained_regularized_mve
2005-03-04,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-03-07,polynomial,1,0.0022737002520286653,0.01,True,constrained_regularized_mve
2005-03-08,polynomial,1,-0.0045557421084928273,0.01,True,constrained_regularized_mve
2005-03-09,polynomial,1,-0.0010677439750219858,0.01,True,constrained_regularized_mve
2005-03-10,polynomial,1,0.00026988483291017081,0.01,True,constrained_regularized_mve
2005-03-11,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-03-14,polynomial,1,0.002351838648329939,0.01,True,constrained_regularized_mve
2005-03-15,polynomial,1,-0.0091035220975588214,0.01,True,constrained_regularized_mve
2005-03-16,polynomial,1,-0.0043695071090225105,0.01,True,constrained_regularized_mve
2005-03-17,polynomial,1,-0.0011609024305055302,0.01,True,constrained_regularized_mve
2005-03-18,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-03-21,polynomial,1,-0.0082843940160540388,0.01,True,constrained_regularized_mve
2005-03-22,polynomial,1,-0.0095891796359247935,0.01,True,constrained_regularized_mve
2005-03-23,polynomial,1,0.00178159942492517,0.01,True,constrained_regularized_mve
2005-03-24,polynomial,1,0.013002343463782063,0.01,True,constrained_regularized_mve
2005-03-25,polynomial,1,0,0.01,True,constrained_regularized_mve
2005-03-28,polynomial,1,-0.0057404356494003958,0.01,True,constrained_regularized_mve
2005-03-29,polynomial,1,0.00086154260096174052,0.01,True,constrained_regularized_mve
2005-03-30,polynomial,1,0.006033803797268136,0.01,True,constrained_regularized_mve
